Orbit,LaunchSite,LandingPad,Serial
LEO,CCAFS SLC 40,,B0003
LEO,CCAFS SLC 40,,B0005
ISS,CCAFS SLC 40,,B0007
PO,VAFB SLC 4E,,B1003
GTO,CCAFS SLC 40,,B1004
GTO,CCAFS SLC 40,,B1005
ISS,CCAFS SLC 40,,B1006
LEO,CCAFS SLC 40,,B1007
GTO,CCAFS SLC 40,,B1008
GTO,CCAFS SLC 40,,B1011
ISS,CCAFS SLC 40,,B1010
ISS,CCAFS SLC 40,5e9e3032383ecb761634e7cb,B1012
ES-L1,CCAFS SLC 40,,B1013
ISS,CCAFS SLC 40,5e9e3032383ecb761634e7cb,B1015
GTO,CCAFS SLC 40,,B1016
ISS,CCAFS SLC 40,5e9e3032383ecb6bb234e7ca,B1018
LEO,CCAFS SLC 40,5e9e3032383ecb267a34e7c7,B1019
PO,VAFB SLC 4E,5e9e3033383ecbb9e534e7cc,B1017
GTO,CCAFS SLC 40,5e9e3032383ecb6bb234e7ca,B1020
ISS,CCAFS SLC 40,5e9e3032383ecb6bb234e7ca,B1021
GTO,CCAFS SLC 40,5e9e3032383ecb6bb234e7ca,B1022
GTO,CCAFS SLC 40,5e9e3032383ecb6bb234e7ca,B1023
ISS,CCAFS SLC 40,5e9e3032383ecb267a34e7c7,B1025
GTO,CCAFS SLC 40,5e9e3032383ecb6bb234e7ca,B1026
GTO,CCAFS SLC 40,5e9e3032383ecb6bb234e7ca,B1028
PO,VAFB SLC 4E,5e9e3033383ecbb9e534e7cc,B1029
ISS,KSC LC 39A,5e9e3032383ecb267a34e7c7,B1031
GTO,KSC LC 39A,,B1030
GTO,KSC LC 39A,5e9e3032383ecb6bb234e7ca,B1021
LEO,KSC LC 39A,5e9e3032383ecb267a34e7c7,B1032
GTO,KSC LC 39A,,B1034
ISS,KSC LC 39A,5e9e3032383ecb267a34e7c7,B1035
GTO,KSC LC 39A,5e9e3032383ecb6bb234e7ca,B1029
PO,VAFB SLC 4E,5e9e3033383ecbb9e534e7cc,B1036
GTO,KSC LC 39A,,B1037
ISS,KSC LC 39A,5e9e3032383ecb267a34e7c7,B1039
SSO,VAFB SLC 4E,5e9e3033383ecbb9e534e7cc,B1038
LEO,KSC LC 39A,5e9e3032383ecb267a34e7c7,B1040
PO,VAFB SLC 4E,5e9e3033383ecbb9e534e7cc,B1041
GTO,KSC LC 39A,5e9e3032383ecb6bb234e7ca,B1031
GTO,KSC LC 39A,5e9e3032383ecb6bb234e7ca,B1042
ISS,CCAFS SLC 40,5e9e3032383ecb267a34e7c7,B1035
PO,VAFB SLC 4E,,B1036
LEO,CCAFS SLC 40,5e9e3032383ecb267a34e7c7,B1043
GTO,CCAFS SLC 40,,B1032
GTO,CCAFS SLC 40,,B1044
PO,VAFB SLC 4E,,B1041
ISS,CCAFS SLC 40,,B1039
HEO,CCAFS SLC 40,5e9e3032383ecb6bb234e7ca,B1045
GTO,KSC LC 39A,5e9e3032383ecb6bb234e7ca,B1046
GTO,CCAFS SLC 40,,B1040
ISS,CCAFS SLC 40,,B1045
GTO,CCAFS SLC 40,5e9e3032383ecb6bb234e7ca,B1047
PO,VAFB SLC 4E,5e9e3033383ecbb9e534e7cc,B1048
GTO,CCAFS SLC 40,5e9e3032383ecb6bb234e7ca,B1046
GTO,CCAFS SLC 40,5e9e3032383ecb6bb234e7ca,B1049
SSO,VAFB SLC 4E,5e9e3032383ecb554034e7c9,B1048
GTO,KSC LC 39A,5e9e3032383ecb6bb234e7ca,B1047
SSO,VAFB SLC 4E,5e9e3033383ecbb9e534e7cc,B1046
ISS,CCAFS SLC 40,5e9e3032383ecb267a34e7c7,B1050
MEO,CCAFS SLC 40,,B1054
PO,VAFB SLC 4E,5e9e3033383ecbb9e534e7cc,B1049
ISS,KSC LC 39A,5e9e3032383ecb6bb234e7ca,B1051
ISS,CCAFS SLC 40,5e9e3032383ecb6bb234e7ca,B1056
VLEO,CCAFS SLC 40,5e9e3032383ecb6bb234e7ca,B1049
SSO,VAFB SLC 4E,5e9e3032383ecb554034e7c9,B1051
ISS,CCAFS SLC 40,5e9e3032383ecb267a34e7c7,B1056
GTO,CCAFS SLC 40,,B1047
VLEO,CCAFS SLC 40,5e9e3032383ecb6bb234e7ca,B1048
ISS,CCAFS SLC 40,5e9e3032383ecb6bb234e7ca,B1059
GTO,CCAFS SLC 40,5e9e3032383ecb6bb234e7ca,B1056
VLEO,CCAFS SLC 40,5e9e3032383ecb6bb234e7ca,B1049
SO,KSC LC 39A,,B1046
VLEO,CCAFS SLC 40,5e9e3032383ecb6bb234e7ca,B1051
VLEO,CCAFS SLC 40,5e9e3032383ecb6bb234e7ca,B1056
ISS,CCAFS SLC 40,5e9e3032383ecb267a34e7c7,B1059
VLEO,KSC LC 39A,5e9e3032383ecb6bb234e7ca,B1048
VLEO,KSC LC 39A,5e9e3032383ecb6bb234e7ca,B1051
ISS,KSC LC 39A,5e9e3032383ecb6bb234e7ca,B1058
VLEO,CCAFS SLC 40,5e9e3033383ecbb9e534e7cc,B1049
VLEO,CCAFS SLC 40,5e9e3032383ecb6bb234e7ca,B1059
MEO,CCAFS SLC 40,5e9e3033383ecbb9e534e7cc,B1060
GEO,CCAFS SLC 40,5e9e3033383ecbb9e534e7cc,B1058
VLEO,CCAFS SLC 40,5e9e3032383ecb6bb234e7ca,B1049
SSO,CCAFS SLC 40,5e9e3032383ecb267a34e7c7,B1059
VLEO,KSC LC 39A,5e9e3032383ecb6bb234e7ca,B1060
VLEO,KSC LC 39A,5e9e3032383ecb6bb234e7ca,B1058
VLEO,KSC LC 39A,5e9e3032383ecb6bb234e7ca,B1051
VLEO,CCAFS SLC 40,5e9e3033383ecbb9e534e7cc,B1060
MEO,CCAFS SLC 40,5e9e3032383ecb6bb234e7ca,B1062
